cell_type,marker
B_cells,ARSA
B_cells,KLF2
B_cells,COL4A4
B_cells,TCEB3
B_cells,IGLL5
B_cells,TMEM243
B_cells,COL9A3
B_cells,FGB
B_cells,BANK1
B_cells,IRF8
B_cells,AIM2
B_cells,ATP2B1
B_cells,COBLL1
B_cells,SETBP1
B_cells,ZDHHC21
B_cells,ATP6V0A1
B_cells,TNFRSF13C
B_cells,RALGPS2
B_cells,TRAPPC8
B_cells,FAM3C
B_cells,NUS1
B_cells,OSBPL10-AS1
B_cells,EPN2
B_cells,EXOSC10
B_cells,CD19
B_cells,RASSF6
B_cells,NIFK
B_cells,PHGDH
B_cells,BICD1
B_cells,CD200
B_cells,TAGAP
B_cells,BLK
B_cells,BLK
B_cells,JCHAIN
B_cells,CCDC191
B_cells,IGKC
B_cells,IGLC2
B_cells,DAAM1
B_cells,POU2F2
B_cells,FAM111B
B_cells,GALNTL6
B_cells,METTL8
B_cells,TTN
B_cells,SNX22
B_cells,NFKBID
B_cells,NFKBID
B_cells,CPNE5
B_cells,MYC
B_cells,MRPS27
B_cells,FCRLA
B_cells,FCRLA
B_cells,ZNF107
B_cells,LSM12
B_cells,SUCO
B_cells,MLK7-AS1
B_cells,ODC1
B_cells,CCNB1IP1
B_cells,STRADB
B_cells,PRKCB
B_cells,RPL22L1
B_cells,CA2
B_cells,FA2H
B_cells,GPRC5D
B_cells,CALB1
B_cells,DHTKD1
B_cells,DDAH2
B_cells,KHDRBS2
B_cells,PRODH2
B_cells,MTSS1
B_cells,ID3
B_cells,DNAJC9
B_cells,GNG3
B_cells,RAB30
B_cells,CHD7
B_cells,HLA-DPA1
B_cells,BCAS4
B_cells,CYB561A3
B_cells,C16orf74
B_cells,MBD4
B_cells,IGHV6-1
B_cells,IGHV3-23
B_cells,IGHV3-7
B_cells,FFAR1
B_cells,LAMP5
B_cells,KCNN3
B_cells,SELENBP1
B_cells,RASGRP3
B_cells,PLIN5
B_cells,SLC22A7
B_cells,PTPN6
B_cells,SNN
B_cells,TCEA1
B_cells,ZFAS1
B_cells,TMEM243
B_cells,SLC44A1
B_cells,CCR7
